"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"35",35,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CARBOPLATIN, PEMBROLIZUMAB","UNK, UNK","II","Advanced, First Line","Progression Free Survival (PFS)","NCT03213041","patients must be positive for circulating tumor cells","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03213041",1,"DB00958,DB09037","56840877, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"36",36,"RECURRENT OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, Fralpha","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","GEMCITABINE, GEMCITABINE HYDROCHLORIDE, MIRVETUXIMAB SORAVTANSINE","UNK, UNK, FOLR1","I","Advanced, Second Line","Recommended phase II dose assessed by Common Terminology Criteria for Adverse Events version 4","NCT02996825","Other cancers included in trial, Cohort A: Patients with TNBC must have received no more than 4 lines of systemic cytotoxic chemotherapy; patients must have received and failed, or have been intolerant to anthracycline, taxanes, capecitabine, eribulin or other agents known to confer clinical benefit; patients are not required to fail all these agents if, in the investigator's opinion, patients would benefit from treatment on current protocol","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02996825",1,"DB00441,NA,DB12489","60750, 60749, 91810695","ENSG00000141736, ENSG00000091831, ENSG00000082175, NA","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND FRALPHA PROTEIN EXPRESSION POSITIVE","pass"
"37",37,"ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","NIVOLUMAB, DARATUMUMAB","UNK, UNK","I, II","Advanced, First Line, Second Line","Incidence of adverse events (AE), Incidence of serious adverse events (SAE), Grade of laboratory abnormalities.","NCT03098550","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03098550",1,"DB09035,DB09331","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"38",38,"LOCALLY ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL, CARBOPLATIN, DECITABINE, PEMBROLIZUMAB","UNK, UNK, UNK, UNK, UNK, UNK","II","Advanced, First Line","Increase in percent of tumor and stroma with infiltrating lymphocytes from baseline pre-treatment biopsy to post-immunotherapy biopsy following administration of decitabine followed by pembrolizumab","NCT02957968","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02957968",1,"DB00997,DB00531,DB01229,DB00958,DB01262,DB09037","443939, 2907, 36314, 56840877, 451668, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"39",39,"LOCALLY ADVANCED BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL, DECITABINE, PEMBROLIZUMAB","UNK, UNK, UNK, UNK, UNK","II","Advanced, First Line","Increase in percent of tumor and stroma with infiltrating lymphocytes from baseline pre-treatment biopsy to post-immunotherapy biopsy following administration of decitabine followed by pembrolizumab","NCT02957968","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02957968",1,"DB00997,DB00531,DB01229,DB01262,DB09037","443939, 2907, 36314, 451668, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"40",40,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB, CARBOPLATIN, PACLITAXEL","UNK, UNK, UNK","II","First Line","Increase in tumor infiltrating lymphocyte (TIL) percentage","NCT02883062","Active comparator: Carboplatin, Paclitaxel, patients must receive lumpectomy or mastectomy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02883062",1,"DB11595,DB00958,DB01229","NA, 56840877, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"41",41,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Postitive","AND","Protein Expression, Protein Expression","H3B-6545","Eralpha","I, II","Advanced, Second Line","Number of Participants with Dose-limiting Toxicities (DLTs), Number of Participants with Treatment Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs)","NCT03250676","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03250676",1,"NA","124091040","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSTITIVE","pass"
"42",42,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, BRCA1, BRCA2","Negative, Negative, Negative, Positive, Positive","AND, AND, AND, AND/OR","Protein Expression, Protein Expression, Protein Expression, Mutation, Mutation","ATEZOLIZUMAB, RUCAPARIB","UNK, UNK","I","Advanced, Second Line","Percentage of Participants With Adverse Events, Percentage of Participants With Dose-Limiting Toxicities (DLTs) [Part 1], Recommended Phase II Dose (RP2D) of Rucaparib for the Combination [Part 1], Number of Dose Modifications due to Adverse Events [Part 2]","NCT03101280","Other cancers included. TNBC is in part 2 cohort 2, For Part 2 ONLY, have a deleterious germline or somatic breast cancer susceptibility gene 1 (BRCA1) or BRCA2 mutation or tumors that are wild-type BRCA but show high levels of loss of heterozygosity (LOH) (tBRCAwt/LOHhigh) signature","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03101280",1,"DB11595,DB12332","NA, 9931954","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000012048, ENSG00000139618","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE","pass"
"43",43,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER (III-IV)","ERBB2, ESR1, PGR","Negative, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CAPECITABINE, PEMBROLIZUMAB","UNK, UNK","II","Advanced, Second Line","Median PFS (median Progression-Free Survival)","NCT03044730","Patients must have histologically-confirmed unresectable, locally advanced or metastatic breast cancer that meets one of the following: Triple negative, defined as estrogen receptor (ER) negative, progesterone receptor (PR) negative, human epidermal growth factor receptor 2 (HER2) negative; HER2 negative defined as immunohistochemistry (IHC) 0 or 1+ or fluorescence in situ hybridization (FISH) negative, Hormone-refractory breast cancer which denotes progression to endocrine therapy (e.g., tamoxifen, aromatase inhibitors, fulvestrant) unless contraindicated","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03044730",1,"DB01101,DB09037","60953, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"44",44,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression/Protein Expression & Amplification","UTOMILUMAB, TRASTUZUMAB EMTANSINE, TRASTUZUMAB","41BB, ERBB2, ERBB2","I","Advanced, Second Line","Incidence of Dose-limiting toxicities (DLTs)","NCT03364348","Cohorts seperated by previous treatments, separate cohorts are given different drug combinations","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03364348",1,"DB15113,DB05773,DB00072","NA, NA, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"45",45,"BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","DURVALUMAB, TREMELIMUMAB","B7H1, CTLA4","I","First Line","Feasibility defined by number of patients willing to enroll, Feasibility defined by number of patients to complete the protocol, Incidence of adverse events","NCT03132467","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03132467",1,"DB11714,DB11771","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"46",46,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, AR","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","ENOBOSARM, PEMBROLIZUMAB","UNK, UNK","II","Advanced, First Line, Second Line","Incidence of adverse events, Response rate (complete response or partial response), Dose limiting toxicities","NCT02971761","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02971761",1,"DB12078,DB09037","11326715, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000169083","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND AR PROTEIN EXPRESSION POSITIVE","pass"
"47",47,"BREAST CANCER","absent","NA","NA","NA","ORAXOL","UNK","I","First Line, Second Line","Evaluation of PK parameters for oral paclitaxel - Cmax, Evaluation of PK parameters for oral paclitaxel - Cmin, Evaluation of PK parameters for oral paclitaxel - Cavg, Evaluation of PK parameters for oral paclitaxel - AUC0-t, Evaluation of PK parameters for oral paclitaxel - AUC","NCT03165955","Breast cancer in patients for whom treatment with IV paclitaxel at 80 mg/m2 as monotherapy has been recommended by their oncologist","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03165955",1,"NA","NA","ENSG00000104313","MONDO_0007254","ABSENT NA NA","failed drug,no biomarker"
"48",48,"INFLAMMATORY BREAST CANCER (IIIB-IIIC)","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PEMBROLIZUMAB","UNK","II","Second Line","Disease free survival (DFS)","NCT02971748","Did not achieve pathological complete response (pCR) to any chemotherapy that was given with the intention to induce best response prior surgery. pCR is defined as the current American Joint Committee on Cancer (AJCC) breast cancer staging.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02971748",1,"DB09037","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"49",49,"INVASIVE TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, Fralpha","Negative, Negative, Negative, Positive/Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","MIRVETUXIMAB SORAVTANSINE","UNK","II","First Line","Response rate","NCT03106077","Two cohorts, Cohort A must be FRalpha positive, cohort B just needs to have analysis.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03106077",1,"DB12489","91810695","ENSG00000141736, ENSG00000091831, ENSG00000082175, NA","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND FRALPHA PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"50",50,"ADVANCED OR METASTATIC BREAST CANCER","BRCA1, BRCA2","Positive, Positive","AND/OR","Mutation, Mutation","TALAZOPARIB","UNK","I","Advanced, Second Line","Number of participants with Dose-limiting toxicities (DLT), Number of Participants With Objective Response","NCT03343054","Other cancers can be included in this trial, Breast cancer is in dose expansion part","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03343054",1,"DB11760","135565082","ENSG00000012048, ENSG00000139618","MONDO_0007254","BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE","pass"
"51",51,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER OR INFLAMMATORY TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","BEMCENTINIB, PEMBROLIZUMAB","UNK, UNK","II","Advanced, Second Line","Objective Response Rate","NCT03184558","Received one or more prior therapies for TNBC or inflammatory breast cancer in the metastatic setting, and prior treatment (metastatic or (neo) adjuvant) must have included a prior taxane and/or anthracycline-based therapy.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03184558",1,"NA,DB09037","46215462, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"52",52,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","TVB-2640, PACLITAXEL, TRASTUZUMAB","FASN, UNK, HER2","II","Advanced, Second Line","Overall response rate","NCT03179904","Protein Expression, Protein Expression, Protein Expressionone","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03179904",1,"NA,DB01229,DB00072","66548316, 36314, 3001322","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"53",53,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, ENDOCRINE THERAPY","UNK, UNK","II","Advanced, Second Line","molecular patterns of resistance [with a special focus on retinoblastoma (Rb) status] upon progression to palbociclib plus endocrine therapy in patients who previously achieved clinical benefit with the combination, clinical activity of the combination of palbociclib and endocrine therapy after prior progression to palbociclib in endocrine-sensitive patients","NCT03184090","Endocrine therapy includes physician's choice based on prior administered agent including tamoxifen, exemestane, fulvestrant, anastrozole, or letrozole, Confirmed disease progression on immediate previous palbociclib plus endocrine therapy","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03184090",1,"DB09073,NA","11478676, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"54",54,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Negative","NA","Protein Expression","DECITABINE, PACLITAXEL","UNK, UNK","I","Advanced, Second Line","Maximum Tolerant Dose (MTD) and Dose Limiting Toxicity (DLT) ","NCT03282825","be unable to operate for therapy with HER2 negative breast adenocarcinoma and metastatic breast cancer, one or more chemotherapy","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03282825",1,"DB01262,DB01229","451668, 36314","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"55",55,"UNRESECTABLE OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PEGYLATED LIPOSOMAL DOXORUBICIN","UNK","II","Advanced, Second Line","PFS","NCT03071926","Primary endocrine resistance is defined as: a relapse while on the first 2 years of adjuvant ET, or PD within first 6 months of first-line ET for MBC, while on ET","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03071926",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"56",56,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CB-839, PACLITAXEL","UNK, UNK","II","Advanced, First Line, Second Line","Objective response rate (ORR)","NCT03057600","CB-839 with paclitaxel is denoted in combination as Pac-CB, four separate cohorts based on prior therapies and african ancestry. Patients with prior therapy need two or more lines","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03057600",1,"NA,DB01229","71577426, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"57",57,"INORPERABLE LOCALLY RECURRENT METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PEMBROLIZUMAB, ERIBULIN","UNK, UNK","II","Advanced, Second Line","Efficacy of pembrolizumab in combination with eribulin","NCT03222856","Patients have received at least one, but not more than two, prior chemotherapeutic regimens for locally recurrent and/or metastatic disease. Prior therapy must have included an anthracycline and a taxane in any combination or order and either in the early or metastatic disease setting unless contraindicated for a given patient. Prior anti-hormonal therapy is mandatory.","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03222856",1,"DB09037,DB08871","NA, 17755248","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
